keyword,category,title,final_price,rating,reviews,platform,delivery,currency,is_emi,link
microwave oven convection,other,Sony microwave oven convection Model 369,4789.0,4.6,589.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 900,8466.0,3.2,3377.0,croma,2 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 503,46885.0,4.4,986.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 956,1861.0,3.9,652.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 284,36220.0,3.6,2875.0,croma,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 370,41318.0,3.8,4161.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 311 ,47745.0,,1278.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 810,10588.0,3.9,4559.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 922,15908.0,3.0,2532.0,reliance digital,5 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 231 ,15909.0,3.3,3043.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 462,23777.0,3.7,1783.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 380,17378.0,4.6,4702.0,flipkart,5 Days,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 157,35128.0,4.7,2310.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 776,12533.0,4.8,208.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Samsung air fryer India Model 961,14116.0,2.6,2903.0,croma,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 363 ,702.0,4.5,1477.0,flipkart,2 Days,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 705,20430.0,4.6,4958.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 692,49213.0,4.9,4261.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 498,36910.0,3.3,1021.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 460,16391.0,4.4,4959.0,croma,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 748,27212.0,3.0,2333.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 928,23555.0,4.9,506.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 934 ,42606.0,3.0,3555.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 242,17801.0,3.4,2910.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 190,41050.0,4.4,1230.0,reliance digital,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 319,38764.0,,416.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 461,2621.0,4.9,112.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 133,4165.0,3.4,2655.0,croma,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 510,48400.0,4.8,469.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 340,999.0,4.3,4487.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 416 ,999.0,3.7,1943.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 250,32487.0,4.5,2194.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,LG men running shoes Model 220,13243.0,3.7,1513.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 363,27413.0,3.1,1596.0,flipkart,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 389,18862.0,4.7,4825.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 420,19293.0,3.5,721.0,amazon,2 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 471,25906.0,2.8,2582.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 302,46676.0,3.0,1248.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 232,44203.0,4.7,2799.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 349,30268.0,4.2,3941.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 401,146220.0,3.2,1261.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 369 ,44892.0,3.9,383.0,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 284,44322.0,4.3,2946.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Boat air fryer India Model 908,41753.0,4.3,3905.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 572,23787.0,4.4,2192.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 761,22667.0,4.7,1929.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 655,41827.0,4.1,,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 811,33630.0,4.0,1597.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 556,192440.0,4.3,4490.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 528,48545.0,4.5,309.0,flipkart,5 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 606,30148.0,2.7,4899.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Dell power bank fast charging Model 949,26802.0,2.9,3666.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 389,999.0,,1152.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 531,32369.0,2.6,2525.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 985,46962.0,3.6,526.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 469,23432.0,3.3,,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 954,16114.0,3.1,3197.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 144,36520.0,3.1,3011.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 799,48982.0,3.3,3233.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 447 ,14024.0,4.0,3085.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 152,28647.0,3.9,3757.0,flipkart,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 321,17858.0,3.7,666.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 609,34421.0,2.8,660.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 295,17152.0,3.9,1879.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 308 ,780.0,2.9,2239.0,croma,2 Days,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 846,1264.0,4.2,1855.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 255,26154.0,3.4,1644.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 220,35128.0,4.3,1617.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 161,34850.0,4.7,1498.0,amazon,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 131,8933.0,3.8,143.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 677 ,20577.0,3.6,3338.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 664 ,34516.0,4.0,2812.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 871,11766.0,4.5,4784.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 956,22658.0,4.3,4250.0,amazon,2 Days,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 328 ,22632.0,4.8,2008.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 117,12123.0,4.6,4412.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 832,30429.0,4.4,4501.0,flipkart,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 552,1240.0,4.0,1072.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 523,19303.0,4.7,3172.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 587 ,2295.0,,4417.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 158,325160.0,3.5,4292.0,croma,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 360,24626.0,2.8,3256.0,croma,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Dell power bank fast charging Model 204,49421.0,2.6,1928.0,flipkart,Free Delivery,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 534 ,17928.0,3.4,3731.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,LG men running shoes Model 145,30111.0,3.1,702.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 360,17016.0,3.5,2921.0,reliance digital,Free Delivery,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 824,3841.0,3.8,1977.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 836,17755.0,3.3,903.0,reliance digital,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 858,4182.0,4.4,2560.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 466,49248.0,,1875.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 143,44839.0,2.6,3003.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 149,17627.0,3.6,2289.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 996 ,66760.0,3.1,2181.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 390,999.0,,2563.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 549,32260.0,4.7,1850.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 269 ,35424.0,3.8,886.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 729,21132.0,2.7,4262.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 417 ,12377.0,4.1,1839.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 843,21420.0,4.5,465.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 207,18384.0,3.9,3798.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 936,39408.0,4.2,3196.0,croma,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 518 ,37579.0,3.0,2735.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 196,6965.0,4.7,281.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 926,5841.0,3.5,1593.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 204,35892.0,4.0,4811.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 488,34899.0,4.3,2120.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 777,24223.0,2.9,2765.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 328,999.0,3.9,2799.0,reliance digital,5 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 465,35692.0,3.1,560.0,flipkart,2 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 921,6136.0,,3343.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 459,42264.0,3.5,3067.0,flipkart,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 906,23890.0,,2464.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 949,87970.0,4.8,1988.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 911,9329.0,4.5,418.0,amazon,5 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 837,20648.0,,866.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 340 ,40436.0,,4359.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 856,27091.0,4.1,277.0,croma,5 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 803,20987.0,4.5,3826.0,flipkart,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 698,18380.0,3.1,1698.0,reliance digital,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Dell office chair ergonomic Model 875,32126.0,3.2,3250.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 596,21238.0,4.8,2607.0,flipkart,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 303,1279.0,4.9,4932.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 477 ,10866.0,,4350.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Philips power bank fast charging Model 642,28225.0,4.6,2579.0,reliance digital,2 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 718,29744.0,4.3,767.0,croma,5 Days,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 786,46190.0,4.4,4850.0,reliance digital,2 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 482,45981.0,4.7,4614.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 969,34115.0,3.7,2589.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 582,28024.0,,80.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Puma men running shoes Model 698,10209.0,4.2,1801.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,Samsung air fryer India Model 828,46174.0,3.8,996.0,flipkart,2 Days,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 839,14552.0,3.0,3900.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 674,37226.0,4.0,240.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 467,2674.0,4.7,1877.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 721,29876.0,4.9,2562.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 674,25437.0,3.0,2042.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Samsung microwave oven convection Model 355,19714.0,2.5,658.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 182,47672.0,3.9,,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 331,29643.0,4.6,359.0,reliance digital,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 293 ,14351.0,3.9,1098.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 642,6086.0,,4274.0,flipkart,5 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 311,43097.0,3.6,1168.0,reliance digital,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 929,48052.0,3.8,37.0,croma,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 400 ,14284.0,4.7,1381.0,croma,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 617,17198.0,3.8,3865.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 745,30753.0,4.6,884.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 103,45883.0,4.5,1488.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 484,35539.0,,461.0,reliance digital,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 744,14102.0,3.3,355.0,reliance digital,Free Delivery,UNKNOWN,False,
power bank fast charging,other,HP power bank fast charging Model 251,29650.0,4.0,2211.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 881,999.0,4.3,3162.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 830,37227.0,3.2,2415.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Sony men running shoes Model 146,15396.0,4.5,1884.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 127,10720.0,4.3,629.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 413,14199.0,3.9,4628.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,Samsung air fryer India Model 611,3868.0,2.7,4042.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 130,49897.0,3.0,2424.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 306,33632.0,3.7,803.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 962,13198.0,4.3,3270.0,amazon,2 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 409,19446.0,,2308.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 794,27642.0,4.9,22.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 410,7209.0,3.8,4713.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 217,4482.0,3.2,779.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 610,32170.0,3.4,852.0,reliance digital,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 384 ,11076.0,4.4,2498.0,amazon,Free Delivery,UNKNOWN,False,
air fryer india,other,Puma air fryer India Model 890,22607.0,3.3,2977.0,reliance digital,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 255,150250.0,4.8,644.0,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 445,6514.0,3.1,3970.0,amazon,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 391 ,21690.0,3.2,3331.0,flipkart,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 994,13287.0,4.6,414.0,croma,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 718,999.0,4.0,1163.0,croma,5 Days,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 483 ,498050.0,3.3,4703.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 963,1439.0,3.7,2268.0,reliance digital,Free Delivery,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 556,4039.0,3.1,2150.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 557,26380.0,4.7,3235.0,flipkart,Free Delivery,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 907,38823.0,3.2,214.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,Nike air fryer India Model 938,6967.0,2.7,2732.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 506,41093.0,3.2,3648.0,flipkart,5 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 469 ,8496.0,4.5,969.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,HP air fryer India Model 735,6304.0,3.9,3336.0,amazon,5 Days,UNKNOWN,False,
men running shoes,fashion,Samsung men running shoes Model 267,27684.0,4.4,2165.0,flipkart,5 Days,UNKNOWN,False,
