keyword,category,title,final_price,rating,reviews,platform,delivery,currency,is_emi,link,brand,visibility_score,price_range,rating_category,review_category,top_10,value_score
microwave oven convection,other,Puma microwave oven convection Model 583,33632.0,4.5,,Reliance Digital,Free Delivery,UNKNOWN,False,,Puma,,High,High,,True,
men running shoes,fashion,Philips men running shoes Model 437,8752.0,4.7,3962.0,Amazon,5 Days,UNKNOWN,False,,Philips,6.133902637276174,High,High,High,True,2.1276736745886655
microwave oven convection,other,Sony microwave oven convection Model 873,35455.0,3.7,2825.0,Flipkart,5 Days,UNKNOWN,False,,Sony,5.398647025297789,High,Medium,High,True,0.29481032294457765
microwave oven convection,other,Boat microwave oven convection Model 875,6446.0,4.6,613.0,Amazon,2 Days,UNKNOWN,False,,Boat,5.327997971258856,High,High,Medium,True,0.4374495811355879
microwave oven convection,other,Sony microwave oven convection Model 369,4789.0,4.6,589.0,Amazon,5 Days,UNKNOWN,False,,Sony,5.312049014759905,High,High,Medium,True,0.5657548548757568
men running shoes,fashion,Dell men running shoes Model 900,8466.0,3.2,3377.0,Croma,2 Days,UNKNOWN,False,,Dell,5.170015638947098,High,Medium,High,True,1.2764469643279
men running shoes,fashion,Philips men running shoes Model 503,46885.0,4.4,986.0,Amazon,Free Delivery,UNKNOWN,False,,Philips,5.397868015773393,High,High,Medium,True,0.09253279300415912
men running shoes,fashion,HP men running shoes Model 956,1861.0,3.9,652.0,Croma,5 Days,UNKNOWN,False,,HP,4.932630851710572,Medium,Medium,Medium,True,1.366362170875873
air fryer india,other,Dell air fryer India Model 284,36220.0,3.6,2875.0,Croma,Free Delivery,UNKNOWN,False,,Dell,5.345662287536375,High,Medium,High,True,0.285753727222529
microwave oven convection,other,Dell microwave oven convection Model 370,41318.0,3.8,4161.0,Reliance Digital,2 Days,UNKNOWN,False,,Dell,5.6135004027814315,High,Medium,High,True,0.38268551236749115
men running shoes,fashion,Samsung men running shoes Model 311 ,47745.0,,1278.0,Flipkart,Free Delivery,UNKNOWN,False,,Samsung,,High,,High,False,
air fryer india,other,Dell air fryer India Model 810,10588.0,3.9,4559.0,Croma,5 Days,UNKNOWN,False,,Dell,5.710031161003373,High,Medium,High,True,1.6792689837551944
air fryer india,other,HP air fryer India Model 922,15908.0,3.0,2532.0,Reliance Digital,5 Days,UNKNOWN,False,,HP,4.93486386000067,High,Medium,High,True,0.47749559969826505
microwave oven convection,other,HP microwave oven convection Model 231 ,15909.0,3.3,3043.0,Reliance Digital,Free Delivery,UNKNOWN,False,,HP,5.188371087592631,High,Medium,High,True,0.6312087497642843
office chair ergonomic,office equipments,Nike office chair ergonomic Model 462,23777.0,3.7,1783.0,Croma,2 Days,UNKNOWN,False,,Nike,5.214645325255983,High,Medium,High,True,0.2774572065441393
microwave oven convection,other,Puma microwave oven convection Model 380,17378.0,4.6,4702.0,Flipkart,5 Days,UNKNOWN,False,,Puma,6.14238235277802,High,High,High,True,1.2446311428242605
men running shoes,fashion,HP men running shoes Model 157,35128.0,4.7,2310.0,Reliance Digital,2 Days,UNKNOWN,False,,HP,5.9181742441097525,High,High,High,True,0.3090696879981781
men running shoes,fashion,Philips men running shoes Model 776,12533.0,4.8,208.0,Flipkart,Free Delivery,UNKNOWN,False,,Philips,5.016933700785924,High,High,Medium,True,0.07966169313013644
air fryer india,other,Samsung air fryer India Model 961,14116.0,2.6,2903.0,Croma,Free Delivery,UNKNOWN,False,,Samsung,4.7495377503778755,High,Medium,High,True,0.5346982147917257
power bank fast charging,other,Nike power bank fast charging Model 363 ,702.0,4.5,1477.0,Flipkart,2 Days,UNKNOWN,False,,Nike,5.619378040603259,Medium,High,High,True,9.467948717948717
men running shoes,fashion,Dell men running shoes Model 705,20430.0,4.6,4958.0,Croma,2 Days,UNKNOWN,False,,Dell,6.163583754595653,High,High,High,True,1.1163387175721977
microwave oven convection,other,Samsung microwave oven convection Model 692,49213.0,4.9,4261.0,Amazon,Free Delivery,UNKNOWN,False,,Samsung,6.282997525063426,High,High,High,True,0.4242557860727857
microwave oven convection,other,HP microwave oven convection Model 498,36910.0,3.3,1021.0,Flipkart,2 Days,UNKNOWN,False,,HP,4.75180670830546,High,Medium,High,True,0.0912842048225413
microwave oven convection,other,Boat microwave oven convection Model 460,16391.0,4.4,4959.0,Croma,2 Days,UNKNOWN,False,,Boat,6.04366440788759,High,High,High,True,1.3311939478982369
office chair ergonomic,office equipments,Boat office chair ergonomic Model 748,27212.0,3.0,2333.0,Flipkart,Free Delivery,UNKNOWN,False,,Boat,4.9021355251386005,High,Medium,High,True,0.2572027046891077
power bank fast charging,other,LG power bank fast charging Model 928,23555.0,4.9,506.0,Flipkart,Free Delivery,UNKNOWN,False,,LG,5.431404401436474,High,High,Medium,True,0.10526002971768203
office chair ergonomic,office equipments,HP office chair ergonomic Model 934 ,42606.0,3.0,3555.0,Flipkart,Free Delivery,UNKNOWN,False,,HP,5.070556638653518,High,Medium,High,True,0.2503168567807351
power bank fast charging,other,Sony power bank fast charging Model 242,17801.0,3.4,2910.0,Croma,2 Days,UNKNOWN,False,,Sony,5.23050077749825,High,Medium,High,True,0.5558114712656592
microwave oven convection,other,Dell microwave oven convection Model 190,41050.0,4.4,1230.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Dell,5.486232850473781,High,High,High,True,0.13183922046285018
power bank fast charging,other,Philips power bank fast charging Model 319,38764.0,,416.0,Croma,5 Days,UNKNOWN,False,,Philips,,High,,Medium,False,
power bank fast charging,other,Samsung power bank fast charging Model 461,2621.0,4.9,112.0,Amazon,Free Delivery,UNKNOWN,False,,Samsung,4.830955127484936,High,High,Medium,True,0.20938573063716143
power bank fast charging,other,Boat power bank fast charging Model 133,4165.0,3.4,2655.0,Croma,5 Days,UNKNOWN,False,,Boat,5.19383060423853,High,Medium,High,True,2.16734693877551
office chair ergonomic,office equipments,Philips office chair ergonomic Model 510,48400.0,4.8,469.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Philips,5.3410930778816414,High,High,Medium,True,0.04651239669421487
microwave oven convection,other,Sony microwave oven convection Model 340,999.0,4.3,4487.0,Reliance Digital,5 Days,UNKNOWN,False,,Sony,5.943664978881014,Medium,High,High,True,19.31341341341341
office chair ergonomic,office equipments,Nike office chair ergonomic Model 416 ,999.0,3.7,1943.0,Croma,Free Delivery,UNKNOWN,False,,Nike,5.249001194008154,Medium,Medium,High,True,7.196296296296297
air fryer india,other,Philips air fryer India Model 250,32487.0,4.5,2194.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Philips,5.777574930203709,High,High,High,True,0.3039061778557577
men running shoes,fashion,LG men running shoes Model 220,13243.0,3.7,1513.0,Flipkart,Free Delivery,UNKNOWN,False,,LG,5.149004173598958,High,Medium,High,True,0.4227214377406932
microwave oven convection,other,Dell microwave oven convection Model 363,27413.0,3.1,1596.0,Flipkart,2 Days,UNKNOWN,False,,Dell,4.810352859286005,High,Medium,High,True,0.1804837121073943
power bank fast charging,other,HP power bank fast charging Model 389,18862.0,4.7,4825.0,Flipkart,5 Days,UNKNOWN,False,,HP,6.212709298473991,High,High,High,True,1.2022850174954935
air fryer india,other,Puma air fryer India Model 420,19293.0,3.5,721.0,Amazon,2 Days,UNKNOWN,False,,Puma,4.732810055557131,High,Medium,Medium,True,0.13079873529259317
air fryer india,other,Dell air fryer India Model 471,25906.0,2.8,2582.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Dell,4.822682717238337,High,Medium,High,True,0.2790704856017911
men running shoes,fashion,Puma men running shoes Model 302,46676.0,3.0,1248.0,Flipkart,Free Delivery,UNKNOWN,False,,Puma,4.652039404050231,High,Medium,High,True,0.08021252892278687
air fryer india,other,Sony air fryer India Model 232,44203.0,4.7,2799.0,Croma,Free Delivery,UNKNOWN,False,,Sony,5.994949878465318,High,High,High,True,0.29761102187634325
air fryer india,other,Puma air fryer India Model 349,30268.0,4.2,3941.0,Croma,Free Delivery,UNKNOWN,False,,Puma,5.831777395085066,High,High,High,True,0.546854764107308
men running shoes,fashion,Boat men running shoes Model 401,146220.0,3.2,1261.0,Reliance Digital,5 Days,UNKNOWN,False,,Boat,4.776181217240463,High,Medium,High,True,0.027596771987416224
power bank fast charging,other,Nike power bank fast charging Model 369 ,44892.0,3.9,383.0,Amazon,2 Days,UNKNOWN,False,,Nike,4.72025702103509,High,Medium,Medium,True,0.033273188986901896
microwave oven convection,other,HP microwave oven convection Model 284,44322.0,4.3,2946.0,Croma,5 Days,UNKNOWN,False,,HP,5.775417193095078,High,High,High,True,0.28581291457966695
air fryer india,other,Boat air fryer India Model 908,41753.0,4.3,3905.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Boat,5.888107644574649,High,High,High,True,0.40216271884654997
office chair ergonomic,office equipments,LG office chair ergonomic Model 572,23787.0,4.4,2192.0,Croma,Free Delivery,UNKNOWN,False,,LG,5.717210299367156,High,High,High,True,0.4054651700508682
men running shoes,fashion,Nike men running shoes Model 761,22667.0,4.7,1929.0,Flipkart,Free Delivery,UNKNOWN,False,,Nike,5.846110112759573,High,High,High,True,0.39997794150086036
office chair ergonomic,office equipments,LG office chair ergonomic Model 655,41827.0,4.1,,Flipkart,Free Delivery,UNKNOWN,False,,LG,,High,High,,True,
air fryer india,other,LG air fryer India Model 811,33630.0,4.0,1597.0,Reliance Digital,Free Delivery,UNKNOWN,False,,LG,5.350603250530488,High,Medium,High,True,0.18994944989592627
microwave oven convection,other,Puma microwave oven convection Model 556,192440.0,4.3,4490.0,Croma,2 Days,UNKNOWN,False,,Puma,5.943932269235095,High,High,High,True,0.10032737476616088
air fryer india,other,LG air fryer India Model 528,48545.0,4.5,309.0,Flipkart,5 Days,UNKNOWN,False,,LG,4.994628918991676,High,High,Medium,True,0.028643526624781132
microwave oven convection,other,LG microwave oven convection Model 606,30148.0,2.7,4899.0,Croma,5 Days,UNKNOWN,False,,LG,5.018796193639488,High,Medium,High,True,0.4387455220910177
power bank fast charging,other,Dell power bank fast charging Model 949,26802.0,2.9,3666.0,Flipkart,Free Delivery,UNKNOWN,False,,Dell,5.02285166722853,High,Medium,High,True,0.3966644280277591
power bank fast charging,other,HP power bank fast charging Model 389,999.0,,1152.0,Croma,5 Days,UNKNOWN,False,,HP,,Medium,,High,False,
power bank fast charging,other,Sony power bank fast charging Model 531,32369.0,2.6,2525.0,Flipkart,Free Delivery,UNKNOWN,False,,Sony,4.693756921164175,High,Medium,High,True,0.20281751058111155
office chair ergonomic,office equipments,Nike office chair ergonomic Model 985,46962.0,3.6,526.0,Croma,2 Days,UNKNOWN,False,,Nike,4.666880219416545,High,Medium,Medium,True,0.0403219624377156
power bank fast charging,other,HP power bank fast charging Model 469,23432.0,3.3,,Croma,2 Days,UNKNOWN,False,,HP,,High,Medium,,True,
power bank fast charging,other,Samsung power bank fast charging Model 954,16114.0,3.1,3197.0,Reliance Digital,2 Days,UNKNOWN,False,,Samsung,5.088112357357559,High,Medium,High,True,0.615036614124364
power bank fast charging,other,Puma power bank fast charging Model 144,36520.0,3.1,3011.0,Reliance Digital,5 Days,UNKNOWN,False,,Puma,5.064143835567913,High,Medium,High,True,0.25558871851040527
office chair ergonomic,office equipments,Nike office chair ergonomic Model 799,48982.0,3.3,3233.0,Amazon,Free Delivery,UNKNOWN,False,,Nike,5.212590016054821,High,Medium,High,True,0.21781266587726103
power bank fast charging,other,Samsung power bank fast charging Model 447 ,14024.0,4.0,3085.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Samsung,5.613852413169242,High,Medium,High,True,0.8799201369081574
air fryer india,other,LG air fryer India Model 152,28647.0,3.9,3757.0,Flipkart,5 Days,UNKNOWN,False,,LG,5.632656871989365,High,Medium,High,True,0.5114776416378678
office chair ergonomic,office equipments,Nike office chair ergonomic Model 321,17858.0,3.7,666.0,Flipkart,5 Days,UNKNOWN,False,,Nike,4.82111601836625,High,Medium,Medium,True,0.1379885765483257
air fryer india,other,Nike air fryer India Model 609,34421.0,2.8,660.0,Amazon,Free Delivery,UNKNOWN,False,,Nike,4.277501535940674,High,Medium,Medium,True,0.05368815548647627
power bank fast charging,other,Boat power bank fast charging Model 295,17152.0,3.9,1879.0,Flipkart,Free Delivery,UNKNOWN,False,,Boat,5.355610822329599,High,Medium,High,True,0.4272446361940298
power bank fast charging,other,Samsung power bank fast charging Model 308 ,780.0,2.9,2239.0,Croma,2 Days,UNKNOWN,False,,Samsung,4.825692457939635,Medium,Medium,High,True,8.324487179487178
men running shoes,fashion,Puma men running shoes Model 846,1264.0,4.2,1855.0,Croma,5 Days,UNKNOWN,False,,Puma,5.530471565338459,Medium,High,High,True,6.16376582278481
air fryer india,other,Dell air fryer India Model 255,26154.0,3.4,1644.0,Flipkart,Free Delivery,UNKNOWN,False,,Dell,5.002198265279789,High,Medium,High,True,0.2137187428309245
power bank fast charging,other,Sony power bank fast charging Model 220,35128.0,4.3,1617.0,Amazon,5 Days,UNKNOWN,False,,Sony,5.535578439047375,High,High,High,True,0.1979361193350034
microwave oven convection,other,HP microwave oven convection Model 161,34850.0,4.7,1498.0,Amazon,5 Days,UNKNOWN,False,,HP,5.74502139924104,High,High,High,True,0.20202582496413202
power bank fast charging,other,Puma power bank fast charging Model 131,8933.0,3.8,143.0,Amazon,2 Days,UNKNOWN,False,,Puma,4.2679253198304,High,Medium,Medium,True,0.060830628008507776
office chair ergonomic,office equipments,Puma office chair ergonomic Model 677 ,20577.0,3.6,3338.0,Croma,5 Days,UNKNOWN,False,,Puma,5.405370655977462,High,Medium,High,True,0.58399183554454
power bank fast charging,other,LG power bank fast charging Model 664 ,34516.0,4.0,2812.0,Amazon,Free Delivery,UNKNOWN,False,,LG,5.576802723395943,High,Medium,High,True,0.325877853748986
microwave oven convection,other,Puma microwave oven convection Model 871,11766.0,4.5,4784.0,Reliance Digital,5 Days,UNKNOWN,False,,Puma,6.089296521554822,High,High,High,True,1.8296787353391126
power bank fast charging,other,Philips power bank fast charging Model 956,22658.0,4.3,4250.0,Amazon,2 Days,UNKNOWN,False,,Philips,5.921963811343517,High,High,High,True,0.8065583899726366
air fryer india,other,Puma air fryer India Model 328 ,22632.0,4.8,2008.0,Amazon,Free Delivery,UNKNOWN,False,,Puma,5.922156945925974,High,High,High,True,0.4258748674443266
microwave oven convection,other,Boat microwave oven convection Model 117,12123.0,4.6,4412.0,Flipkart,5 Days,UNKNOWN,False,,Boat,6.116924003707819,High,High,High,True,1.6741070692072917
power bank fast charging,other,HP power bank fast charging Model 832,30429.0,4.4,4501.0,Flipkart,Free Delivery,UNKNOWN,False,,HP,6.004910808586671,High,High,High,True,0.6508396595353118
power bank fast charging,other,Sony power bank fast charging Model 552,1240.0,4.0,1072.0,Flipkart,Free Delivery,UNKNOWN,False,,Sony,5.191285497052279,Medium,Medium,High,True,3.458064516129032
men running shoes,fashion,Nike men running shoes Model 523,19303.0,4.7,3172.0,Amazon,2 Days,UNKNOWN,False,,Nike,6.044973116633278,High,High,High,True,0.7723359063358028
office chair ergonomic,office equipments,Sony office chair ergonomic Model 587 ,2295.0,,4417.0,Croma,5 Days,UNKNOWN,False,,Sony,,High,,High,False,
microwave oven convection,other,Nike microwave oven convection Model 158,325160.0,3.5,4292.0,Croma,5 Days,UNKNOWN,False,,Nike,5.445896427289824,High,Medium,High,True,0.046198794439660476
office chair ergonomic,office equipments,Puma office chair ergonomic Model 360,24626.0,2.8,3256.0,Croma,Free Delivery,UNKNOWN,False,,Puma,4.915424722110494,High,Medium,High,True,0.3702103467879477
power bank fast charging,other,Dell power bank fast charging Model 204,49421.0,2.6,1928.0,Flipkart,Free Delivery,UNKNOWN,False,,Dell,4.585902805162291,High,Medium,High,True,0.10143056595374436
air fryer india,other,Nike air fryer India Model 534 ,17928.0,3.4,3731.0,Reliance Digital,2 Days,UNKNOWN,False,,Nike,5.329879824786894,High,Medium,High,True,0.7075747434181169
men running shoes,fashion,LG men running shoes Model 145,30111.0,3.1,702.0,Reliance Digital,Free Delivery,UNKNOWN,False,,LG,4.482142756724266,High,Medium,Medium,True,0.07227259141177643
air fryer india,other,Philips air fryer India Model 360,17016.0,3.5,2921.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Philips,5.292009436924259,High,Medium,High,True,0.600816878232252
power bank fast charging,other,HP power bank fast charging Model 824,3841.0,3.8,1977.0,Amazon,5 Days,UNKNOWN,False,,HP,5.3159366048730625,High,Medium,High,True,1.9558969018484769
microwave oven convection,other,Samsung microwave oven convection Model 836,17755.0,3.3,903.0,Reliance Digital,Free Delivery,UNKNOWN,False,,Samsung,4.70273174415687,High,Medium,Medium,True,0.1678344128414531
power bank fast charging,other,Samsung power bank fast charging Model 858,4182.0,4.4,2560.0,Amazon,Free Delivery,UNKNOWN,False,,Samsung,5.779261234479811,High,High,High,True,2.6934481109516977
power bank fast charging,other,LG power bank fast charging Model 466,49248.0,,1875.0,Amazon,5 Days,UNKNOWN,False,,LG,,High,,High,False,
men running shoes,fashion,Nike men running shoes Model 143,44839.0,2.6,3003.0,Flipkart,Free Delivery,UNKNOWN,False,,Nike,4.763080005153611,High,Medium,High,True,0.17412966390865095
office chair ergonomic,office equipments,Boat office chair ergonomic Model 149,17627.0,3.6,2289.0,Amazon,2 Days,UNKNOWN,False,,Boat,5.254522838619314,High,Medium,High,True,0.4674873773188858
office chair ergonomic,office equipments,Puma office chair ergonomic Model 996 ,66760.0,3.1,2181.0,Reliance Digital,5 Days,UNKNOWN,False,,Puma,4.935198866557206,High,Medium,High,True,0.10127471539844218
office chair ergonomic,office equipments,Philips office chair ergonomic Model 390,999.0,,2563.0,Reliance Digital,5 Days,UNKNOWN,False,,Philips,,Medium,,High,False,
power bank fast charging,other,LG power bank fast charging Model 549,32260.0,4.7,1850.0,Reliance Digital,5 Days,UNKNOWN,False,,LG,5.829392525029399,High,High,High,True,0.2695288282703038
office chair ergonomic,office equipments,Sony office chair ergonomic Model 269 ,35424.0,3.8,886.0,Amazon,5 Days,UNKNOWN,False,,Sony,4.995137992923832,High,Medium,Medium,True,0.09504290876242096
air fryer india,other,Philips air fryer India Model 729,21132.0,2.7,4262.0,Croma,Free Delivery,UNKNOWN,False,,Philips,4.9630913667060845,High,Medium,High,True,0.5445485519591142
men running shoes,fashion,Philips men running shoes Model 417 ,12377.0,4.1,1839.0,Flipkart,5 Days,UNKNOWN,False,,Philips,5.467008340241212,High,High,High,True,0.6091863941181223
power bank fast charging,other,Nike power bank fast charging Model 843,21420.0,4.5,465.0,Flipkart,Free Delivery,UNKNOWN,False,,Nike,5.157674253650258,High,High,Medium,True,0.0976890756302521
office chair ergonomic,office equipments,Nike office chair ergonomic Model 207,18384.0,3.9,3798.0,Flipkart,2 Days,UNKNOWN,False,,Nike,5.6369972612750505,High,Medium,High,True,0.8057114882506526
microwave oven convection,other,HP microwave oven convection Model 936,39408.0,4.2,3196.0,Croma,5 Days,UNKNOWN,False,,HP,5.747987259623937,High,High,High,True,0.3406211936662607
